"Type of
Mounting
Method",240kg/m2 Wind Pressure,540kg/m2 Wind Pressure
"Bolt type
mounting
system",Use 4 mounting holes,Use eight mounting holes
"Clamping on
Portrait
position","949mm
A MOUNTING AREA
1956mm
A MOUNTING AREA
A = 489mm","B
A
MOUNTING AREA
1956mm
MOUNTING AREA
A
B
A = 489mm, B = 244.5mm"
"Clamping on
Landscape
position","Mounting rails should run parallel to the
short side of the frame. If the expected
load is greater than 160kg/m2, a support
bar should be inserted.","Support bar
1956mm
Yx MOUNTING AREA
949mm
Yx MOUNTING AREA
X = 47.45mm; Y = 189.80mm
Mounting rails should run parallel to the
short side of the frame. An additional
support bar should be used below the
module."
