"CS3W-P, CS3W-MS",Col1,Col2
"A1 A1
A1 A1
Use four clamps on the long side. Mounting rails
run perpendicularly to the long side frame.",,"A
A
Use four clamps on the short side.
Mounting rails run perpendicular to the long side frame."
"A1 range = (340 – 550) mm
Maximum Load:
Uplift load ≤ 2400 Pa
Downforce load ≤ 2400 Pa",,"A range = (200 - 250 mm)
Maximum Load:
Uplift load ≤ 1200 Pa
Downforce load ≤ 1200 Pa"
"A1 range = (410 – 490) mm
Maximum Load:
Uplift load ≤ 3600 Pa
Downforce load ≤ 5400 Pa",,"A range = (0 - 200) mm
Maximum Load:
Uplift load ≤ 1000 Pa
Downforce load ≤ 1000 Pa"
