"CS3W-P,
CS3W-MS","Arctech
single-axis tracker
Portrait two rows","3588 mm rail
(bolting method /
M8 bolt + M8 plain washer
(O.D. = 24 mm) /
1155 mm holes position)
Rail drawing No:
CS2018007","Uplift load ≤
2400 Pa
Downforce load ≤
2400 Pa","SSMFIM-rev01
(SkySmart-Module Fixing
Installation Manual)"
CS3U-P,"Soltec SF7 Sing­
le-Axis Tracker","2454 mm rail
(Bolting method /
M6 bolt + M6 plain washer
(O.D.= 18 mm) / 1300 mm
+ 400 mm holes position)
Rail drawing No:
SF7-MR-04-101 Dr P00
_ _
SF7-MR-06-102 Dr P00
_ _","Uplift load ≤
1800 Pa
Downforce load ≤
1800 Pa","SF7QG-1500V-en,
revision 1.0"
"CS3W-P,
CS3W-MS","Soltec SF7
Single-Axis
Tracker","2542 mm rail
(Bolting method /
M6 bolt + M6 plain washer
(O.D. = 18 mm) / 1300 mm
+ 400 mm holes position)
Rail drawing No:
SF7-MR-04-018 Dr
_","Uplift load ≤
1200 Pa
Downforce load ≤
1200 Pa","SF7QG-1500V-en,
revision 1.0"
CS3U-P,"Soltec SF7
Single-Axis
Tracker","long rail
(bolting method /
M8 bolt + M8 plain washer
(O.D. = 24 mm) /
1155 mm holes position)","Uplift load ≤
2400 Pa
Downforce load ≤
2400 Pa","SF7QG-1500V-en,
revision 1.0"
"CS3W-P,
CS3W-MS","Soltec SF7
Single-Axis
Tracker","3297 mm rail
(bolting method /
M8 bolt + M8 plain washer
(O.D. = 24 mm) /
1155 mm holes position)
Rail drawing No:
SF7-MR-04-017 Dr
_","Uplift load ≤
2400 Pa
Downforce load ≤
2400 Pa","SF7QG-1500V-en,
revision 1.0"
