"Module
Type","Compatible
Tracker","Mounting
Hardware",Maximum Load (Pa),"Reference Manual
(Version No.)"
"CS3U-P, CS3U-MS,
CS6U-P, CS6U-M,
CS3W-P and
CS3W-MS","ATI
DuraTrack™HZ
Tracking
System(V3)","Standard 300 mm
clamp 20751
Hi-rise 300 mm
clamp 20822","Uplift load ≤
2400 Pa
Downforce load ≤
2400 Pa","DuraTrack™HZ Solar
Tracker Installation Guide
(January 2017, Rev. B-01)"
"CS3U-P, CS3U-MS,
CS6U-P
and CS6U-M","NEXTracker
NX Horizon","V2.4.1 Rails (400 mm
mounting holes)
+ 4x bobtails
(head O.D. 13 mm)","Uplift load ≤
2400 Pa
Downforce load ≤
2400 Pa","NEXTracker NX Horizon
2.4.1
Installation Manual
(PDM-000176 Rev. B)"
"CS3W-P, CS3W-MS","NEXTracker
NX Horizon","Uses V2.4.1 rail + 1180
supplemental rail* (400
mm+ 1155 mm mouting
holes)
+ 8x bobtails
(head O.D. 16.8 mm)","2200 Pa < Uplift load
≤ 2800 Pa
2200 Pa < Downforce
load ≤ 2800 Pa","NEXTracker NX Horizon
2.4.1
Installation Manual
(PDM-000176 Rev. B)
Note*: Technical Bulletin
covering supplemental
rail will be given additi­
onal to the installation
manual on specific project
from Nextracker."
,,"V2.4.1 Rails (400 mm
mounting holes)
+ 4x bobtails
(head O.D. 16.8 mm)","1600 Pa < Uplift load
≤ 2200 Pa
1600 Pa < Downforce
load ≤ 2200 Pa",
,,"V2.4.1 Rails (400 mm
mounting holes)
+ 4x bobtails
(head O.D. 13 mm)","Uplift load ≤ 1600 Pa
Downforce load ≤
1600 Pa",
CS3U-P,"Arctech
single-axis
tracker
Portrait two
rows","3438 mm rail
(bolting method /
M8 bolt + M8 plain was­
her (O.D. = 24 mm) /
1155 mm holes position)
Rail drawing No:
CS2018002","Uplift load ≤
2400 Pa
Downforce load ≤
2400 Pa","SSMFIM-rev01
(SkySmart-Module Fixing
Installation Manual)"
